wals code,name,value,description,latitude,longitude,genus,family,area
chw,Cham (Western),2,Different,12,105.5,Malayo-Sumbawan,Austronesian,Lexicon
cha,Chamorro,2,Different,13.45,144.75,Chamorro,Austronesian,Lexicon
ctt,Chatino (Tataltepec),2,Different,16.16666667,-97.58333333,Zapotecan,Oto-Manguean,Lexicon
chy,Chayahuita,1,Identical,-5.5,-77,Cahuapanan,Cahuapanan,Lexicon
chl,Chehalis (Upper),2,Different,46.58333333,-123,Tsamosan,Salishan,Lexicon
cmh,Chemehuevi,2,Different,34.33333333,-115.1666667,Northern Uto-Aztecan,Uto-Aztecan,Lexicon
che,Cherokee,2,Different,35.5,-83.5,Southern Iroquoian,Iroquoian,Lexicon
cyn,Cheyenne,2,Different,47,-95,Algonquian,Algic,Lexicon
cck,Chickasaw,2,Different,34,-88,Muskogean,Muskogean,Lexicon
cec,Chicomuceltec,2,Different,15.5,-92.25,Mayan,Mayan,Lexicon
chi,Chimariko,2,Different,41,-123,Chimariko,Hokan,Lexicon
cma,Chimila,2,Different,10,-74,Chimila,Chibchan,Lexicon
cle,Chinantec (Lealao),2,Different,17.33333333,-95.91666667,Chinantecan,Oto-Manguean,Lexicon
csf,Chinantec (San Felipe Usila),2,Different,17.91666667,-96.5,Chinantecan,Oto-Manguean,Lexicon
chp,Chipewyan,2,Different,59,-106,Athapaskan,Na-Dene,Lexicon
crg,Chiriguano,2,Different,-23.66666667,-64.33333333,Maweti-Guarani,Tupian,Lexicon
cch,Chocho,2,Different,17.66666667,-97.41666667,Popolocan,Oto-Manguean,Lexicon
cct,Choctaw,2,Different,32.25,-88.5,Muskogean,Muskogean,Lexicon
col,Chol,2,Different,17.75,-92.5,Mayan,Mayan,Lexicon
cho,Chontal (Highland),2,Different,16.25,-95.75,Tequistlatecan,Hokan,Lexicon
cmy,Chontal Maya,2,Different,18.16666667,-92.58333333,Mayan,Mayan,Lexicon
crt,Chorote,2,Different,-22.5,-62.5,Matacoan,Matacoan,Lexicon
chr,Chrau,2,Different,10.75,107.5,Bahnaric,Austro-Asiatic,Lexicon
chj,Chuj,2,Different,15.91666667,-91.58333333,Mayan,Mayan,Lexicon
cin,Chumash (Ineseño),2,Different,34.66666667,-120.25,Chumash,Chumash,Lexicon
cuu,Chuukese,2,Different,7.333333333,151.75,Oceanic,Austronesian,Lexicon
cla,Clallam,2,Different,48.08333333,-123.75,Central Salish,Salishan,Lexicon
ccp,Cocopa,1,Identical,32.33333333,-115,Yuman,Hokan,Lexicon
cof,Cofán,2,Different,0.166666667,-77.16666667,Cofán,Cofán,Lexicon
cog,Cogui,2,Different,11,-73.83333333,Arhuacic,Chibchan,Lexicon
clc,Colac,2,Different,-38.33333333,143.5,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
cmn,Comanche,2,Different,33.5,-101.5,Northern Uto-Aztecan,Uto-Aztecan,Lexicon
cmc,Comecrudo,1,Identical,25.83333333,-99,Comecrudan,Hokan,Lexicon
cor,Cora,2,Different,22.16666667,-104.8333333,Corachol,Uto-Aztecan,Lexicon
crn,Cornish,2,Different,50.33333333,-5,Celtic,Indo-European,Lexicon
cre,Cree (Plains),2,Different,54,-110,Algonquian,Algic,Lexicon
crk,Creek,2,Different,34,-85,Muskogean,Muskogean,Lexicon
cro,Crow,2,Different,47,-108,Missouri River Siouan,Siouan,Lexicon
cub,Cubeo,2,Different,1.333333333,-70.5,Tucanoan,Tucanoan,Lexicon
cui,Cuiba,2,Different,6.5,-70,Guahiban,Guahiban,Lexicon
ctc,Cuicatec,2,Different,17.83333333,-96.83333333,Cuicatec,Oto-Manguean,Lexicon
cut,Cuitlatec,2,Different,17.5,-101,Cuitlatec,Cuitlatec,Lexicon
cur,Curripaco,2,Different,2.5,-68.5,Japura-Colombia,Arawakan,Lexicon
cze,Czech,2,Different,50,15,Slavic,Indo-European,Lexicon
dak,Dakota,2,Different,45,-93.5,Mississippi Valley Siouan,Siouan,Lexicon
dam,Damana,2,Different,11,-73.5,Arhuacic,Chibchan,Lexicon
dsh,Danish,2,Different,56,10,Germanic,Indo-European,Lexicon
dgx,Degexit'an,2,Different,62,-160,Athapaskan,Na-Dene,Lexicon
des,Desano,2,Different,0.833333333,-69.83333333,Tucanoan,Tucanoan,Lexicon
die,Diegueño (Mesa Grande),1,Identical,32.66666667,-116.1666667,Yuman,Hokan,Lexicon
dig,Digaro,2,Different,28.41666667,96,Digaroan,Sino-Tibetan,Lexicon
csk,Diola-Kasa,2,Different,12.5,-16.75,Jola,Niger-Congo,Lexicon
dja,Djabugay,1,Identical,-16.75,145.5833333,Northern Pama-Nyungan,Pama-Nyungan,Lexicon
djp,Djapu,2,Different,-12.66666667,136,Western Pama-Nyungan,Pama-Nyungan,Lexicon
dji,Djingili,1,Identical,-17.75,134,Djingili,Mirndi,Lexicon
dre,Drehu,2,Different,-21,167.25,Oceanic,Austronesian,Lexicon
dca,Dumagat (Casiguran),2,Different,16.33333333,122,Northern Luzon,Austronesian,Lexicon
dut,Dutch,2,Different,52.5,6,Germanic,Indo-European,Lexicon
efi,Efik,2,Different,4.916666667,8.5,Lower Cross,Niger-Congo,Lexicon
eka,Ekari,2,Different,-3.833333333,135.5,Paniai Lakes,Trans-New Guinea,Lexicon
emb,Emberá (Northern),2,Different,6.833333333,-77.16666667,Choco,Choco,Lexicon
ena,Enga,2,Different,-5.5,143.6666667,Enga_Kewa-Huli,Trans-New Guinea,Lexicon
eng,English,2,Different,52,0,Germanic,Indo-European,Lexicon
ese,Ese Ejja,2,Different,-11,-66,Tacanan,Pano-Tacanan,Lexicon
eud,Eudeve,1,Identical,29.16666667,-109.6666667,Opata-Eudeve,Uto-Aztecan,Lexicon
eve,Evenki,2,Different,56,125,Tungusic,Altaic,Lexicon
eya,Eyak,2,Different,60.5,-145,Eyak,Na-Dene,Lexicon
fij,Fijian,2,Different,-17.83333333,178,Oceanic,Austronesian,Lexicon
fin,Finnish,2,Different,62,25,Finnic,Uralic,Lexicon
for,Fore,2,Different,-6.75,145.5,Fore-Gimi,Trans-New Guinea,Lexicon
fox,Fox,2,Different,43,-83,Algonquian,Algic,Lexicon
fre,French,2,Different,48,2,Romance,Indo-European,Lexicon
fut,Futuna-Aniwa,2,Different,-19.53333333,170.2166667,Oceanic,Austronesian,Lexicon
gad,Gade,2,Different,8.666666667,7.416666667,Gade,Niger-Congo,Lexicon
gae,Gaelic (Scots),2,Different,57,-4,Celtic,Indo-European,Lexicon
geo,Georgian,2,Different,42,44,Kartvelian,Kartvelian,Lexicon
ger,German,2,Different,52,10,Germanic,Indo-European,Lexicon
gid,Gidabal,2,Different,-28.41666667,152.4166667,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
git,Gitksan,2,Different,55.33333333,-127.75,Tsimshianic,Tsimshianic,Lexicon
goa,Goajiro,2,Different,12,-72,Guajiro-Paraujano,Arawakan,Lexicon
grk,Greek (Modern),2,Different,39,22,Greek,Indo-European,Lexicon
